Material,ASTM num,exponente m,diametro in,A kpsi * in^m,Diametro mm,A Mpa * mm^m,Costo relativo
Alambre de piano,A228,0.145,0.004-0.256,201,0.10-6.5,2211,2.6
Alambre T y R en aceite,A229,0.187,0.020-0.500,147,0.5-12.7,1 855,1.3
Alambre estirado duro,A227,0.190,0.028-0.500,140,0.7-12.7,1 783,1.0
Alambre al cromo- vanadio,A232,0.168,0.032-0.437,169,0.8-11.1,2 005,3.1
Alambre al cromo- silicio,A401,0.108,0.063-0.375,202,1.6-95,1974,40
Alambre inoxidable 302#,A313,0.146,0.013-0.10,169,0.3-2.5,1867,7.6-11
Alambre de bronce fosforado,B159,0.263,0.10-0.20,128,25-5,2 065,8.0
Alambre de bronce fosforado,B159,0.478,0.20-0.40,90,5-10,2911,8.0
Alambre de bronce fosforado,B159,0,0.004-0.022,145,0.1-0.6,1000,8.0
Alambre de bronce fosforado,B159,0.028,0.022-0.075,121,0.6-2,913,8.0
Alambre de bronce fosforado,B159,0.064,0.075-0.30,110,2-7.5,932,8.0
