,Material,Limite tension,limite torsion,Diámetro in,E M-psi,E GPa,G M-psi,G GPa,diametro bajo,diametro alto
0,Alambre de piano A228,65-75,45-60,<0.032,29.5,203.4,12.0,82.7,,0.032
1,Alambre de piano A228,65-75,45-60,0.033-0.063,29.0,200.0,11.85,81.7,0.033,0.063
2,Alambre de piano A228,65-75,45-60,0.064-0.125,28.5,196.5,11.75,81.0,0.064,0.125
3,Alambre de piano A228,65-75,45-60,>0.125,28.0,193.0,11.6,80.0,0.125,
4,Resorte estirado duro A227,60-70,45-55,<0.032,28.8,198.6,11.7,80.7,,0.032
5,Resorte estirado duro A227,60-70,45-55,0.033-0.063,28.7,197.9,11.6,80.0,0.033,0.063
6,Resorte estirado duro A227,60-70,45-55,0.064-0.125,28.6,197.2,11.5,79.3,0.064,0.125
7,Resorte estirado duro A227,60-70,45-55,>0.125,28.5,196.5,11.4,78.6,0.125,
8,Templado en aceite A239 ,85-90,45-50,,28.5,196.5,11.2,77.2,,
9,Resorte de válvula A230 ,85-90,50-60,,29.5,203.4,11.2,77.2,,
10,Cromo-vanadio A231,88-93,65-75,,29.5,203.4,11.2,77.2,,
11,Cromo-vanadio A232 ,88-93,,,29.5,203.4,11.2,77.2,,
12,Cromo-silicio A401,85-93,65-75,,29.5,203.4,11.2,77.2,,
13,Acero inoxidable A313*,65-75,45-55,,28.0,193.0,10.0,69.0,,
14,Acero inoxidable 17-7PH ,75-80,55-60,,29.5,208.4,11.0,75.8,,
15,Acero inoxidable 414 ,65-70,42-55,,29.0,200.0,11.2,77.2,,
16,Acero inoxidable 420 ,65-75,45-55,,29.0,200.0,11.2,77.2,,
17,Acero inoxidable 431,72-76,50-55,,30.0,206.0,11.5,79.3,,
18,Bronce fosforado B159 ,75-80,45-50,,15.0,103.4,6.0,41.4,,
19,Cobre al berilio B197,70,50,,17.0,117.2,6.5,44.8,,
20,Cobre al berilio B197,75,50-55,,19.0,131.0,7.3,50.3,,
21,Aleación inconel X-750,65-70,40-45,,31.0,213.7,11.2,77.2,,
